molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL410671,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,1911.0660000000016,-14.176229999999881,30.0,31.0,11.67778070526608
CHEMBL60586,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,887.9059999999998,-8.59163000000001,16.0,16.0,9.438898616350944
CHEMBL60586,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,887.9059999999998,-8.59163000000001,16.0,16.0,12.769551078621726
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,active,332.31300000000005,-3.5758299999999976,8.0,7.0,10.958607314841775
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,active,332.31300000000005,-3.5758299999999976,8.0,7.0,11.886056647693163
CHEMBL266691,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,1840.9310000000016,-16.12672999999989,30.0,31.0,9.79317412396815
CHEMBL266691,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,1840.9310000000016,-16.12672999999989,30.0,31.0,13.142667503568731
CHEMBL386285,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,active,1967.174000000002,-12.736699999999878,29.0,30.0,9.94692155651658
CHEMBL386285,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,active,1967.174000000002,-12.736699999999878,29.0,30.0,12.494850021680094
CHEMBL411217,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,2007.1540000000023,-12.507029999999883,30.0,30.0,10.200659450546418
CHEMBL411217,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,2007.1540000000023,-12.507029999999883,30.0,30.0,13.55284196865778
CHEMBL411966,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,2273.4540000000006,-11.264829999999886,32.0,32.0,9.489454989793387
CHEMBL411966,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,active,2273.4540000000006,-11.264829999999886,32.0,32.0,12.823908740944319
CHEMBL292162,CC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,active,417.4190000000001,-3.6250999999999944,7.0,8.0,10.657577319177793
CHEMBL292162,CC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,active,417.4190000000001,-3.6250999999999944,7.0,8.0,11.259637310505756
CHEMBL418091,CC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,active,459.5000000000002,-2.4547999999999934,7.0,8.0,10.045757490560675
CHEMBL418091,CC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,active,459.5000000000002,-2.4547999999999934,7.0,8.0,11.229147988357855
CHEMBL411967,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,active,2193.494000000001,-11.51449999999992,31.0,32.0,9.232844133917819
CHEMBL411967,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,active,2193.494000000001,-11.51449999999992,31.0,32.0,13.0
